País,data science,machine learning,deep learning
Santa Elena,100.0,100.0,52.0
India,99.0,77.0,25.0
Ruanda,,,
Lesoto,,,
Singapur,91.0,79.0,52.0
Zimbabue,,,
Botsuana,,,
Nepal,77.0,49.0,
Nigeria,72.0,25.0,8.0
Etiopía,,,
Ghana,60.0,,
Kenia,60.0,27.0,
Pakistán,56.0,38.0,17.0
Malaui,,,
Uganda,,,
Hong Kong,48.0,49.0,39.0
Estados Unidos,48.0,30.0,15.0
Camerún,,,
Sudáfrica,42.0,21.0,9.0
Australia,38.0,22.0,12.0
Bangladés,37.0,39.0,15.0
Zambia,,,
Sri Lanka,36.0,36.0,12.0
Emiratos Árabes Unidos,36.0,20.0,9.0
Mauricio,,,
Irlanda,35.0,31.0,13.0
Filipinas,34.0,14.0,6.0
Canadá,32.0,28.0,15.0
Namibia,,,
Somalia,,,
Reino Unido,30.0,22.0,10.0
Malasia,30.0,20.0,12.0
Myanmar (Birmania),,,
Líbano,,,
Jamaica,,,
Catar,,,
Suiza,28.0,32.0,20.0
Tanzania,,,
Países Bajos,27.0,20.0,11.0
Túnez,27.0,27.0,22.0
Senegal,,,
Corea del Sur,25.0,58.0,100.0
Nueva Zelanda,25.0,20.0,10.0
Trinidad y Tobago,,,
Chipre,,,
Côte d’Ivoire,,,
Laos,,,
Luxemburgo,,,
Madagascar,,,
Afganistán,,,
Armenia,,,
Omán,,,
Macao,,,
Israel,20.0,35.0,31.0
Baréin,,,
Islandia,,,
Mongolia,,,
Portugal,17.0,18.0,8.0
Grecia,17.0,17.0,8.0
Macedonia del Norte,,,
Serbia,16.0,12.0,5.0
Brunéi,,,
Dinamarca,15.0,23.0,10.0
Austria,15.0,16.0,11.0
Alemania,15.0,18.0,13.0
Noruega,15.0,24.0,13.0
Marruecos,14.0,13.0,9.0
Bélgica,14.0,15.0,10.0
Egipto,14.0,16.0,9.0
Kuwait,,,
Tailandia,13.0,10.0,5.0
Puerto Rico,,,
Sudán,,,
Nueva Caledonia,,,
Kosovo,,,
Taiwán,13.0,26.0,34.0
Azerbaiyán,,,
Jordania,,,
Estonia,,,
Albania,,,
Finlandia,12.0,20.0,10.0
Suecia,12.0,23.0,13.0
Irán,12.0,17.0,15.0
Arabia Saudí,12.0,9.0,5.0
Chile,11.0,10.0,4.0
Kazajistán,,,
Francia,11.0,12.0,10.0
Angola,,,
Costa Rica,,,
Indonesia,10.0,8.0,4.0
Croacia,,13.0,6.0
Palestina,,,
Camboya,,,
China,10.0,27.0,36.0
España,10.0,11.0,6.0
Bielorrusia,,,
Uruguay,,,
Italia,9.0,10.0,5.0
Eslovenia,,,
Vietnam,9.0,13.0,7.0
Brasil,9.0,7.0,3.0
Rusia,9.0,8.0,5.0
Ucrania,9.0,7.0,3.0
Lituania,,,
Panamá,,,
Perú,8.0,10.0,3.0
Chequia,8.0,13.0,7.0
Kirguistán,,,
Polonia,8.0,8.0,5.0
Uzbekistán,,,
Georgia,,,
Hungría,8.0,8.0,7.0
Letonia,,,
Honduras,,,
Guatemala,,,
Bosnia y Herzegovina,,,
Bulgaria,,9.0,
Colombia,7.0,10.0,4.0
Argelia,,9.0,9.0
Bolivia,,,
México,6.0,6.0,2.0
El Salvador,,,
Siria,,,
Argentina,6.0,6.0,2.0
Rumanía,6.0,11.0,5.0
República Dominicana,,,
Ecuador,,,
Moldavia,,,
Eslovaquia,,,
Paraguay,,,
Turquía,4.0,6.0,5.0
Irak,,,
Japón,3.0,6.0,16.0
Venezuela,,,
Corea del Norte,,,
Kiribati,,,
Samoa Americana,,,
Eritrea,,,
Montserrat,,,
Esuatini,,,
Palaos,,,
Gambia,,,
Micronesia,,,
Islas Marshall,,,
Bután,,,
Islas Salomón,,,
Islas Vírgenes de EE. UU.,,,
Antigua y Barbuda,,,
San Cristóbal y Nieves,,,
Islas Marianas del Norte,,,
Liechtenstein,,,
Santo Tomé y Príncipe,,,
Samoa,,,
Groenlandia,,,
Guyana,,,
Benín,,,
Papúa Nueva Guinea,,,
Liberia,,,
Belice,,,
Anguila,,,
Islas Vírgenes Británicas,,,
Tonga,,,
Gibraltar,,,
Burundi,,,
San Vicente y las Granadinas,,,
Guinea-Bisáu,,,
Granada,,,
Vanuatu,,,
Sudán del Sur,,,
Barbados,,,
Guam,,,
Sint Maarten,,,
Congo,,,
Sáhara Occidental,,,
Islas Caimán,,,
Malta,,,
Islas Turcas y Caicos,,,
Sierra Leona,,,
Togo,,,
Caribe neerlandés,,,
Bermudas,,,
San Martín,,,
Níger,,,
Isla de Man,,,
Fiyi,,,
Aruba,,,
Santa Lucía,,,
Maldivas,,,
San Marino,,,
Guernsey,,,
Cuba,,,
Yibuti,,,
Haití,,,
San Bartolomé,,,
Jersey,,,
Guinea Ecuatorial,,,
Gabón,,,
Chad,,,
Curazao,,,
Bahamas,,,
República Democrática del Congo,,,
Seychelles,,,
Mozambique,,,
Burkina Faso,,,
Dominica,,,
Surinam,,,
Islas Feroe,,,
Montenegro,,,
Cabo Verde,,,
Guinea,,,
Mali,,,
Timor-Leste,,,
Andorra,,,
Turkmenistán,,,
Libia,,,
Mónaco,,,
Tayikistán,,,
Nicaragua,,,
Polinesia Francesa,,,
Mauritania,,,
Guayana Francesa,,,
Yemen,,,
Martinica,,,
Guadalupe,,,
Reunión,,,
Islas Åland,,,
Antártida,,,
Territorios Australes Franceses,,,
Isla Bouvet,,,
República Centroafricana,,,
Islas Cocos,,,
Islas Cook,,,
Comoras,,,
Isla de Navidad,,,
Islas Malvinas (Islas Falkland),,,
Islas Heard y McDonald,,,
Territorio Británico del Océano Índico,,,
Mayotte,,,
Isla Norfolk,,,
Niue,,,
Nauru,,,
Islas Pitcairn,,,
Islas Georgia del Sur y Sandwich del Sur,,,
Svalbard y Jan Mayen,,,
San Pedro y Miquelón,,,
Tokelau,,,
Tuvalu,,,
Islas menores alejadas de EE. UU.,,,
Ciudad del Vaticano,,,
Wallis y Futuna,,,
